City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,timimoun,29.2639,0.231,306.47,11,1,1.37,DZ,1682425378
139,stettler,52.3168,-112.7186,276.9,80,63,2.38,CA,1682425378
140,kodiak,57.79,-152.4072,273.88,86,100,0.0,US,1682425378
141,al ghayzah,16.2079,52.176,304.02,59,42,7.7,YE,1682425378
142,emerald,-23.5333,148.1667,292.23,65,51,5.36,AU,1682425379
143,gadzhiyevo,69.2551,33.3362,273.33,69,2,9.66,RU,1682425379
144,punta cardon,11.6581,-70.215,298.98,77,8,4.45,VE,1682425379
145,owerri,5.4833,7.0304,307.46,48,94,1.88,NG,1682425379
146,ebon,4.582,168.6964,300.41,79,100,5.63,MH,1682425379
147,punta arenas,-53.15,-70.9167,278.21,81,20,10.29,CL,1682425379
148,uturoa,-16.7333,-151.4333,300.03,82,77,4.87,PF,1682425379
149,agar,23.7,76.0167,307.55,12,5,4.17,IN,1682425380
150,ancud,-41.8697,-73.8203,284.98,96,100,4.02,CL,1682425380
151,weno,7.4515,151.8468,299.12,94,100,1.54,FM,1682425380
152,nago,26.5881,127.9761,295.62,89,73,3.28,JP,1682425380
153,shinkafi,13.0753,6.5105,312.86,16,26,4.05,NG,1682425380
154,at taj,24.2049,23.2857,308.75,10,9,6.92,LY,1682425380
155,thai nguyen,21.5928,105.8442,294.03,80,100,1.54,VN,1682425381
156,san fernando de apure,7.8878,-67.4724,297.69,88,100,2.47,VE,1682425381
157,lihue,21.9789,-159.3672,294.73,86,75,3.6,US,1682425381
158,cidreira,-30.1811,-50.2056,294.52,76,5,6.11,BR,1682425381
159,talnakh,69.4865,88.3972,275.49,88,36,2.61,RU,1682425381
160,villa elisa,-25.3667,-57.6167,292.06,100,75,2.57,PY,1682425381
161,awjilah,29.1081,21.2869,304.24,15,7,4.93,LY,1682425381
162,saynshand,44.8824,110.1163,281.68,16,44,6.51,MN,1682425381
163,ust-tsilma,65.441,52.1498,273.85,100,89,1.37,RU,1682425382
164,colonia,50.9333,6.95,285.27,53,40,4.63,DE,1682425317
165,port saint john's,-31.6229,29.5448,295.72,86,96,1.99,ZA,1682425382
166,touros,-5.1989,-35.4608,301.58,74,24,5.08,BR,1682425382
167,sola,-13.8833,167.55,300.5,76,30,5.14,VU,1682425382
168,vorgashor,67.5833,63.95,268.38,90,38,3.46,RU,1682425382
169,kavaratti,10.5669,72.642,301.42,67,77,3.77,IN,1682425383
170,bredasdorp,-34.5322,20.0403,294.15,52,90,0.8,ZA,1682425383
171,lorengau,-2.0226,147.2712,301.29,78,93,3.33,PG,1682425383
172,ulverstone,-41.15,146.1667,287.16,96,54,2.41,AU,1682425383
173,al quwayrah,29.8004,35.3116,298.15,16,0,5.33,JO,1682425383
174,enewetak,11.3474,162.3373,299.17,84,100,6.37,MH,1682425383
175,cidade velha,14.9167,-23.6167,299.41,57,20,8.75,CV,1682425384
176,naze,28.3667,129.4833,294.66,88,65,5.19,JP,1682425384
177,isfana,39.8386,69.5306,294.46,40,7,2.73,KG,1682425384
178,korla,41.7597,86.1469,296.31,15,71,1.08,CN,1682425385
179,gvardeysk,54.6477,21.0651,281.18,91,100,4.39,RU,1682425385
180,rio verde de mato grosso,-18.9181,-54.8442,297.55,78,53,2.71,BR,1682425385
181,namibe,-15.1961,12.1522,300.17,61,20,3.74,AO,1682425385
182,atafu village,-8.5421,-172.5159,301.83,76,73,3.77,TK,1682425385
183,al bawiti,28.3492,28.8659,304.53,15,49,2.98,EG,1682425385
184,ibirataia,-14.0669,-39.6406,297.35,75,100,1.16,BR,1682425385
185,cuenca,-2.8833,-78.9833,286.22,100,100,1.03,EC,1682425149
186,shorewood,41.52,-88.2017,280.42,89,100,3.6,US,1682425205
187,bardai,11.65,7.2333,310.81,14,84,3.01,NG,1682425386
188,keflavik,64.0049,-22.5624,279.1,52,40,4.63,IS,1682425386
189,colares,38.7992,-9.4469,299.44,68,0,7.15,PT,1682425386
190,mul,20.0667,79.6667,297.44,70,100,1.21,IN,1682425386
191,china,25.7,-99.2333,291.71,82,92,1.69,MX,1682425387
192,raja,8.4596,25.678,313.21,20,14,2.28,SS,1682425387
193,lompoc,34.6391,-120.4579,283.44,81,100,8.49,US,1682425387
194,hithadhoo,-0.6,73.0833,301.82,74,100,4.07,MV,1682425387
195,broken hill,-31.95,141.4333,293.24,43,79,4.64,AU,1682425174
196,nar'yan-mar,67.6713,53.087,272.93,88,11,6.55,RU,1682425388
197,cockburn town,21.4612,-71.1419,298.25,74,87,3.46,TC,1682425388
198,port alfred,-33.5906,26.891,295.47,80,90,1.79,ZA,1682425388
199,okhotsk,59.3833,143.3,270.75,94,97,2.76,RU,1682425388
200,margate,51.3813,1.3862,283.65,62,9,0.45,GB,1682425109
201,codrington,-38.2667,141.9667,290.07,63,98,3.4,AU,1682425389
202,louis trichardt,-23.0439,29.9032,305.66,19,0,2.06,ZA,1682425389
203,gaalkacyo,6.7697,47.4308,309.26,29,73,2.29,SO,1682425389
204,saint-pierre,-21.3393,55.4781,300.13,74,75,3.09,RE,1682425389
205,kolonia town,6.964,158.206,300.46,79,100,6.3,FM,1682425389
206,omutninsk,58.67,52.1932,293.14,31,23,4.83,RU,1682425389
207,bel ombre,-4.6167,55.4167,304.06,74,40,5.66,SC,1682425390
208,coahuayana de hidalgo,18.7,-103.6583,293.9,88,86,1.21,MX,1682425391
209,chonchi,-42.6128,-73.8092,284.71,99,100,0.23,CL,1682425391
210,nyagan,62.1406,65.3936,277.43,100,100,4.12,RU,1682425391
211,shihezi,44.3,86.0333,286.86,66,100,4.91,CN,1682425391
212,podgorenskiy,50.405,39.6429,285.0,93,100,0.61,RU,1682425391
213,ponta delgada,37.7333,-25.6667,290.55,100,75,4.63,PT,1682425392
214,nova vicosa,-17.8919,-39.3719,298.57,81,36,2.64,BR,1682425392
215,skowhegan,44.7651,-69.7192,279.46,99,100,2.05,US,1682425208
216,knyaze-volkonskoye,48.4642,135.4567,282.34,55,100,9.83,RU,1682425392
217,general conesa,-40.1,-64.4333,289.11,53,3,4.72,AR,1682425392
218,puerto colombia,10.9878,-74.9547,300.2,79,27,6.87,CO,1682425392
219,port isabel,26.0734,-97.2086,295.38,95,20,3.13,US,1682425028
220,tuy hoa,13.0833,109.3,298.63,90,37,2.77,VN,1682425393
221,senanga,-16.1167,23.2667,306.85,23,6,2.99,ZM,1682425393
222,guerrero negro,27.9769,-114.0611,288.72,74,81,4.69,MX,1682425393
223,iranshahr,27.2025,60.6848,304.34,23,40,6.17,IR,1682425393
224,dronero,44.4657,7.3513,292.09,30,76,2.31,IT,1682425393
225,celestun,20.8667,-90.4,297.02,75,19,2.12,MX,1682425393
226,port elizabeth,-33.918,25.5701,295.43,72,0,3.09,ZA,1682425394
227,walvis bay,-22.9575,14.5053,304.68,40,0,4.63,NA,1682425394
228,balboa,2.0396,-77.2168,289.21,92,81,0.6,CO,1682425394
229,remire-montjoly,4.9167,-52.2667,297.17,100,100,1.03,GF,1682425394
230,tottori,35.5,134.2333,289.19,82,75,7.2,JP,1682425394
231,savanna-la-mar,18.219,-78.1332,299.78,81,43,1.26,JM,1682425394
